UNIT	Side	Frame	level	Channel	LANENUM	PRODCODE	AframePacksize	WMSPacksize	DESCRIPT	CURRENTSTATUS	ProductCode-Packsize	CurrentNDC
1	A	1	1	0	4	T0385                         	9000	90	TAMSULOSIN HCL 0.4MG CAP	EMPTY LANE	T0385-90	71610073860
1	A	1	1	1	1	T0385	9000	90	TAMSULOSIN HCL 0.4MG CAP	EMPTY LANE	T0385-90	71610073860
1	A	1	1	2	2	T0385	9000	90	TAMSULOSIN HCL 0.4MG CAP	EMPTY LANE	T0385-90	71610073860
1	A	1	1	3	3	T0385	9000	90	TAMSULOSIN HCL 0.4MG CAP	EMPTY LANE	T0385-90	71610073860
1	A	1	1	4	1	N0037	11000	110	NICOTINE 2MG GUM	NO ERROR	N0037-110	00536136206
1	A	1	1	5	1	I0186	9000	90	ISOSORBIDE MONONITRATE 30MG SA TAB	NO ERROR	I0186-90	71610078860
1	A	1	1	6	1	R0288	3000	30	RIVAROXABAN 20MG TAB	NO ERROR	R0288-30	50458057930
1	A	1	1	7	1	G0104	12000	120	GABAPENTIN 300MG CAP	NO ERROR	G0104-120	71610075370
1	A	1	1	8	1	A0545	3000	30	AMLODIPINE BESYLATE 10MG TAB	NO ERROR	A0545-30	71610046930
1	A	1	1	9	1	D0346	9000	90	DONEPEZIL HCL 10MG TAB	NO ERROR	D0346-90	60429032290
1	A	1	1	10	1	P0082	9000	90	POTASSIUM CHLORIDE 10MEQ SA TAB	NO ERROR	P0082-90	71610034960
1	A	1	1	11	1	B0203	3000	30	BISMUTH SUBSALICYLATE 262MG CHEW TAB	NO ERROR	B0203-30	69618002903
1	A	1	1	12	1	C1203	15000	150	CALCIUM CARB 500MG (CA 200MG) CHEW TAB	NO ERROR	C1203-150	00904641292
1	A	1	1	13	1	Z0005	6000	60	ZINC OXIDE 20% OINT	EMPTY LANE	Z0005-60	71399024502
1	A	1	1	14	1	S0231	600	6	SUMATRIPTAN 20MG/SPRAY NASAL SOLN 0.1ML	EMPTY LANE	S0231-6	66993008269
1	A	1	1	15	1	G0014	9000	90	GLIPIZIDE 5MG TAB	EMPTY LANE	G0014-90	71610068060
1	A	1	1	16	1	P0692	9000	90	PANTOPRAZOLE NA 20MG EC TAB	NO ERROR	P0692-90	72865022990
1	A	1	1	17	1	N0642	8100	81	NICOTINE POLACRILEX 2MG MINI LOZENGE	NO ERROR	N0642-81	00536123981
1	A	1	1	18	1	S0195	900	9	SUMATRIPTAN SUCCINATE 25MG TAB	NO ERROR	S0195-9	51407001109
1	A	1	1	19	1	A0131	4500	45	ALLOPURINOL 300MG TAB	NO ERROR	A0131-45	71610006445
1	A	1	1	20	1	M1043	100	1	MOMETASONE 200MCG/ACTUAT 120D ORAL INHL	NO ERROR	M1043-1	78206011301
1	A	1	1	21	1	R0164	3000	30	ROSUVASTATIN CA 40MG TAB	NO ERROR	R0164-30	24658026430
1	A	1	1	22	2	R0164	3000	30	ROSUVASTATIN CA 40MG TAB	NO ERROR	R0164-30	24658026430
1	A	1	1	23	1	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	1	1	24	2	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	1	1	25	3	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	2	1	32	1	L0109	3000	30	LORATADINE 10MG TAB	NO ERROR	L0109-30	45802065065
1	A	2	1	33	2	L0109	3000	30	LORATADINE 10MG TAB	NO ERROR	L0109-30	45802065065
1	A	2	1	34	3	L0109	3000	30	LORATADINE 10MG TAB	NO ERROR	L0109-30	45802065065
1	A	2	1	35	1	A0448	9000	90	ATENOLOL 25MG TAB	NO ERROR	A0448-90	60429002790
1	A	2	1	36	1	F0049	18000	180	FLUOXETINE HCL 20MG CAP	NO ERROR	F0049-180	71610069980
